,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,RT Ponting,_,_,_,_,_,_,P Kumar,Z Khan,AA Noffke,_,_,_
1,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,R Dravid,W Jaffer,V Kohli,JH Kallis,CL White,MV Boucher,_,_,_,AB Dinda,I Sharma,AB Agarkar,_,_,_
2,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,PA Patel,ML Hayden,MEK Hussey,_,_,_,_,_,_,B Lee,S Sreesanth,JR Hopes,_,_,_
3,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,K Goel,JR Hopes,KC Sangakkara,_,_,_,_,_,_,JDP Oram,MS Gony,_,_,_,_
4,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,T Kohli,YK Pathan,SR Watson,M Kaif,_,_,_,_,_,GD McGrath,B Geeves,MF Maharoof,_,_,_
5,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,G Gambhir,V Sehwag,S Dhawan,_,_,_,_,_,_,MM Patel,SR Watson,SK Trivedi,_,_,_
6,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds,_,_,_,_,_,AB Dinda,I Sharma,AB Agarkar,_,_,_
7,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,WP Saha,BB McCullum,RT Ponting,SC Ganguly,DJ Hussey,_,_,_,_,WPUJC Vaas,RP Singh,SB Styris,_,_,_
8,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,L Ronchi,ST Jayasuriya,DJ Thornely,RV Uthappa,PR Shah,_,_,_,_,P Kumar,Z Khan,JH Kallis,_,_,_
9,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,S Chanderpaul,R Dravid,LRPL Taylor,_,_,_,_,_,_,A Nehra,SM Pollock,DS Kulkarni,_,_,_
10,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,K Goel,JR Hopes,KC Sangakkara,_,_,_,_,_,_,MM Patel,SR Watson,SK Trivedi,_,_,_
11,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,M Kaif,Kamran Akmal,YK Pathan,SR Watson,DS Lehmann,_,_,_,_,B Lee,S Sreesanth,JR Hopes,_,_,_
12,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds,_,_,_,_,_,GD McGrath,Mohammad Asif,_,_,_,_
13,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,G Gambhir,V Sehwag,S Dhawan,_,_,_,_,_,_,WPUJC Vaas,RP Singh,_,_,_,_
14,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,PA Patel,ML Hayden,MEK Hussey,SK Raina,_,_,_,_,_,SM Pollock,A Nehra,DS Kulkarni,_,_,_
15,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,L Ronchi,ST Jayasuriya,RV Uthappa,SM Pollock,_,_,_,_,_,JDP Oram,MS Gony,_,_,_,_
16,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,AC Gilchrist,VVS Laxman,Shahid Afridi,A Symonds,_,_,_,_,_,MM Patel,SR Watson,YK Pathan,_,_,_
17,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,Kamran Akmal,GC Smith,YK Pathan,_,_,_,_,_,_,WPUJC Vaas,RP Singh,PP Ojha,_,_,_
18,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,K Goel,IK Pathan,KC Sangakkara,_,_,_,_,_,_,SM Pollock,A Nehra,DS Kulkarni,_,_,_
19,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,L Ronchi,ST Jayasuriya,RV Uthappa,DJ Bravo,_,_,_,_,_,B Lee,IK Pathan,VRV Singh,S Sreesanth,_,_
20,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,SC Ganguly,BB McCullum,RT Ponting,WP Saha,DJ Hussey,_,_,_,_,JDP Oram,MS Gony,P Amarnath,_,_,_
21,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,PA Patel,ML Hayden,_,_,_,_,_,_,_,AB Dinda,I Sharma,AB Agarkar,_,_,_
22,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,_,_,_,_,_,SR Watson,Sohail Tanvir,MM Patel,_,_,_
23,M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,GC Smith,M Rawat,YK Pathan,SR Watson,_,_,_,_,_,P Kumar,Z Khan,R Vinay Kumar,_,_,_
24,Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,L Ronchi,ST Jayasuriya,AM Rahane,RV Uthappa,SM Pollock,_,_,_,_,RP Singh,DNT Zoysa,SB Bangar,Shahid Afridi,_,_
25,Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,AC Gilchrist,VVS Laxman,_,_,_,_,_,_,_,A Nehra,SM Pollock,DS Kulkarni,ST Jayasuriya,SD Chitnis,_
26,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,_,_,_,_,_,B Lee,IK Pathan,S Sreesanth,VRV Singh,_,_
27,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,_,_,_,_,_,GD McGrath,Mohammad Asif,MF Maharoof,_,_,_
28,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,PA Patel,ML Hayden,MEK Hussey,_,_,_,_,_,_,DW Steyn,Z Khan,P Kumar,_,_,_
29,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,B Chipli,W Jaffer,LRPL Taylor,_,_,_,_,_,_,JDP Oram,MS Gony,_,_,_,_
30,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,BB McCullum,SC Ganguly,RT Ponting,DB Das,DJ Hussey,_,_,_,_,SM Pollock,A Nehra,CRD Fernando,DS Kulkarni,DJ Bravo,_
31,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,AM Rahane,ST Jayasuriya,MK Pandey,RV Uthappa,DJ Bravo,_,_,_,_,AB Agarkar,I Sharma,AB Dinda,_,_,_
32,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,G Gambhir,V Sehwag,S Dhawan,_,_,_,_,_,_,DW Steyn,Z Khan,P Kumar,_,_,_
33,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,P Kumar,W Jaffer,LRPL Taylor,JH Kallis,R Dravid,_,_,_,_,GD McGrath,Mohammad Asif,VY Mahesh,_,_,_
34,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,GC Smith,SA Asnodkar,M Kaif,_,_,_,_,_,_,AB Dinda,I Sharma,AB Agarkar,Umar Gul,_,_
35,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,Salman Butt,SC Ganguly,AB Agarkar,BJ Hodge,_,_,_,_,_,SR Watson,Sohail Tanvir,SK Trivedi,_,_,_
36,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,AC Gilchrist,VVS Laxman,HH Gibbs,_,_,_,_,_,_,S Sreesanth,IK Pathan,VRV Singh,_,_,_
37,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,SE Marsh,RR Sarwan,_,_,_,_,_,_,_,RP Singh,DNT Zoysa,Shahid Afridi,SB Bangar,_,_
38,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,PA Patel,SP Fleming,S Vidyut,_,_,_,_,_,_,GD McGrath,Mohammad Asif,VY Mahesh,PJ Sangwan,_,_
39,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,G Gambhir,V Sehwag,_,_,_,_,_,_,_,M Ntini,MS Gony,JA Morkel,_,_,_
40,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,SE Marsh,JR Hopes,KC Sangakkara,_,_,_,_,_,_,I Sharma,AB Agarkar,AB Dinda,_,_,_
41,"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,Mohammad Hafeez,SC Ganguly,DB Das,BJ Hodge,DJ Hussey,LR Shukla,_,_,_,S Sreesanth,IK Pathan,_,_,_,_
