,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Score
0,15,1,7,14,474,83,435,-1,-1,-1,-1,-1,-1,369,588,21,-1,-1,-1,61
1,15,2,14,7,398,569,557,217,114,334,-1,-1,-1,24,193,22,-1,-1,-1,26
2,22,1,0,5,377,322,309,-1,-1,-1,-1,-1,-1,77,462,231,-1,-1,-1,53
3,22,2,5,0,237,231,248,-1,-1,-1,-1,-1,-1,213,332,-1,-1,-1,-1,63
4,9,1,11,3,533,582,501,287,-1,-1,-1,-1,-1,172,74,310,-1,-1,-1,40
5,9,2,3,11,168,559,448,-1,-1,-1,-1,-1,-1,324,501,483,-1,-1,-1,55
6,8,1,1,7,28,579,566,14,-1,-1,-1,-1,-1,24,193,22,-1,-1,-1,39
7,8,2,7,1,572,83,435,474,137,-1,-1,-1,-1,573,424,472,-1,-1,-1,26
8,34,1,8,14,274,509,140,437,388,-1,-1,-1,-1,369,588,217,-1,-1,-1,47
9,34,2,14,8,447,398,283,-1,-1,-1,-1,-1,-1,10,490,155,-1,-1,-1,40
10,26,1,5,11,237,231,248,-1,-1,-1,-1,-1,-1,324,501,483,-1,-1,-1,54
11,26,2,11,5,287,266,582,501,156,-1,-1,-1,-1,77,462,231,-1,-1,-1,53
12,23,1,1,3,28,579,566,14,-1,-1,-1,-1,-1,172,339,-1,-1,-1,-1,25
13,23,2,3,1,168,559,448,-1,-1,-1,-1,-1,-1,573,424,-1,-1,-1,-1,48
14,16,1,0,8,377,322,309,482,-1,-1,-1,-1,-1,490,10,155,-1,-1,-1,53
15,16,2,8,0,274,509,437,490,-1,-1,-1,-1,-1,213,332,-1,-1,-1,-1,52
16,23,1,1,11,28,566,518,14,-1,-1,-1,-1,-1,324,501,582,-1,-1,-1,58
17,23,2,11,1,266,170,582,-1,-1,-1,-1,-1,-1,573,424,386,-1,-1,-1,73
18,22,1,5,8,237,196,248,-1,-1,-1,-1,-1,-1,490,10,155,-1,-1,-1,60
19,22,2,8,5,274,509,437,134,-1,-1,-1,-1,-1,77,196,563,462,-1,-1,39
