,0
0,61
1,26
2,53
3,63
4,40
5,55
6,39
7,26
8,47
9,40
10,54
11,53
12,25
13,48
14,53
15,52
16,58
17,73
18,60
19,39
20,61
21,45
22,57
23,45
24,27
25,60
26,45
27,55
28,36
29,45
30,40
31,38
32,58
33,55
34,45
35,51
36,50
37,41
38,47
39,64
40,49
41,31
42,46
43,33
44,38
45,44
46,50
47,37
48,26
49,52
50,34
51,50
52,48
53,34
54,50
55,62
56,41
57,35
58,50
59,50
60,53
61,35
62,43
63,55
64,47
65,21
66,50
67,42
68,35
69,37
70,28
71,78
72,48
73,71
74,27
75,68
76,51
77,23
78,68
79,73
80,57
81,32
82,35
83,43
84,41
85,71
86,32
87,42
88,43
89,68
90,23
91,44
92,42
93,74
94,60
95,56
96,67
97,65
98,41
99,43
100,47
101,51
102,29
103,36
104,26
105,44
106,36
107,39
108,51
109,38
110,58
111,28
112,35
113,35
114,42
115,41
116,29
117,14
118,40
119,40
120,67
121,58
122,21
123,37
124,68
125,46
126,46
127,60
128,62
129,31
130,59
131,61
132,54
133,38
134,15
135,18
136,49
137,44
138,55
139,50
140,45
141,43
142,38
143,32
144,62
145,69
146,61
147,47
148,42
149,33
150,45
151,46
152,26
153,23
154,40
155,38
156,37
157,41
158,40
159,26
160,38
161,35
162,53
163,49
164,39
165,30
166,28
167,51
168,25
169,51
170,53
171,52
172,57
173,29
174,54
175,57
176,37
177,41
178,29
179,31
180,57
181,53
182,30
183,36
184,34
185,37
186,52
187,45
188,37
189,47
190,46
191,39
192,42
193,30
194,51
195,42
196,38
197,46
198,56
199,50
200,42
201,26
202,52
203,33
204,38
205,37
206,49
207,35
208,31
209,50
210,35
211,24
212,39
213,46
214,54
215,56
216,37
217,27
218,46
219,29
220,50
221,29
222,33
223,64
224,30
225,60
226,49
227,84
228,52
229,59
230,31
231,36
232,38
233,62
234,44
235,39
236,69
237,39
238,57
239,34
240,24
241,61
242,47
243,60
244,50
245,61
246,31
247,45
248,67
249,56
250,31
251,59
252,52
253,56
254,56
255,27
256,56
257,38
258,45
259,55
260,47
261,48
262,38
263,42
264,9
265,10
266,41
267,57
268,38
269,29
270,53
271,76
272,51
273,63
274,64
275,46
276,55
277,54
278,50
279,42
280,58
281,58
282,52
283,50
284,62
285,36
286,48
287,45
288,52
289,56
290,52
291,39
292,46
293,59
294,41
295,51
296,53
297,40
298,66
299,62
300,53
301,69
302,54
303,38
304,48
305,52
306,42
307,46
308,52
309,70
310,50
311,44
312,46
313,32
314,51
315,56
316,61
317,48
318,55
319,37
320,47
321,34
322,45
323,39
324,35
325,38
326,22
327,67
328,44
329,69
330,30
331,59
332,39
333,33
334,43
335,45
336,46
337,42
338,34
339,34
340,49
341,49
342,38
343,39
344,42
345,44
346,54
347,44
348,39
349,23
350,27
351,33
352,40
353,33
354,45
355,52
356,44
357,31
358,61
359,48
360,36
361,44
362,38
363,31
364,46
365,30
366,30
367,57
368,24
369,40
370,37
371,44
372,31
373,65
374,41
375,28
376,31
377,62
378,44
379,50
380,45
381,33
382,48
383,62
384,63
385,67
386,36
387,26
388,42
389,49
390,43
391,38
392,33
393,32
394,45
395,37
396,77
397,45
398,50
399,57
400,40
401,44
402,70
403,46
404,32
405,38
406,57
407,41
408,45
409,40
410,42
411,65
412,37
413,28
414,20
415,29
416,42
417,41
418,57
419,42
420,31
421,18
422,34
423,37
424,40
425,45
426,34
427,64
428,49
429,34
430,35
431,24
432,42
433,67
434,41
435,41
436,47
437,43
438,49
439,31
440,35
441,43
442,43
443,29
444,48
445,38
446,15
447,33
448,50
449,23
450,34
451,40
452,49
453,79
454,55
455,48
456,39
457,33
458,50
459,52
460,43
461,66
462,42
463,52
464,62
465,49
466,32
467,26
468,33
469,65
470,43
471,42
472,32
473,87
474,39
475,57
476,30
477,34
478,41
479,40
480,29
481,44
482,26
483,52
484,58
485,45
486,33
487,23
488,44
489,46
490,54
491,44
492,25
493,25
494,62
495,68
496,52
497,56
498,47
499,42
500,53
501,46
502,48
503,30
504,27
505,57
506,45
507,44
508,45
509,46
510,46
511,38
512,19
513,37
514,27
515,45
516,29
517,60
518,20
519,41
520,50
521,54
522,44
523,56
524,52
525,29
526,38
527,45
528,36
529,43
530,56
531,26
532,48
533,43
534,54
535,23
536,41
537,57
538,62
539,58
540,42
541,45
542,53
543,42
544,53
545,50
546,34
547,41
548,36
549,52
550,49
551,41
552,45
553,39
554,42
555,39
556,48
557,37
558,48
559,28
560,61
561,44
562,40
563,50
564,44
565,54
566,49
567,46
568,35
569,43
570,48
571,42
572,40
573,38
574,31
575,43
576,37
577,56
578,61
579,33
580,48
581,33
582,53
583,42
584,37
585,56
586,47
587,64
588,33
589,68
590,45
591,52
592,46
593,46
594,46
595,50
596,60
597,51
598,40
599,35
600,49
601,25
602,35
603,33
604,64
605,28
606,36
607,66
608,50
609,27
610,45
611,49
612,32
613,47
614,44
615,45
616,33
617,40
618,32
619,50
620,51
621,47
622,37
623,32
624,26
625,42
626,51
627,25
628,43
629,41
630,58
631,20
632,44
633,27
634,40
635,23
636,40
637,31
638,44
639,48
640,49
641,30
642,54
643,52
644,46
645,54
646,56
647,45
648,46
649,31
650,38
651,38
652,27
653,45
654,39
655,41
656,36
657,40
658,37
659,20
660,15
661,24
662,56
663,35
664,40
665,40
666,47
667,38
668,46
669,43
670,38
671,44
672,43
673,44
674,64
675,29
676,38
677,48
678,40
679,33
680,31
681,34
682,48
683,48
684,39
685,48
686,38
687,35
688,45
689,43
690,48
691,15
692,11
693,25
694,41
695,58
696,26
697,39
698,32
699,36
700,33
701,31
702,48
703,47
704,27
705,24
706,60
707,48
708,55
709,55
710,58
711,40
712,56
713,62
714,43
715,61
716,42
717,40
718,58
719,45
720,45
721,29
722,30
723,52
724,35
725,37
726,43
727,67
728,63
729,36
730,55
731,55
732,45
733,29
734,46
735,37
736,34
737,41
738,36
739,36
740,36
741,30
742,39
743,34
744,48
745,26
746,41
747,32
748,32
749,61
750,53
751,58
752,41
753,42
754,49
755,41
756,38
757,50
758,49
759,37
760,38
761,50
762,34
763,40
764,49
765,36
766,37
767,37
768,41
769,37
770,24
771,22
772,31
773,52
774,39
775,31
776,46
777,47
778,49
779,49
780,29
781,42
782,33
783,53
784,21
785,21
786,33
787,76
788,56
789,35
790,51
791,40
792,47
793,33
794,45
795,47
796,56
797,27
798,44
799,42
800,45
801,34
802,35
803,31
804,32
805,30
806,50
807,70
808,64
809,41
810,30
811,31
812,49
813,49
814,30
815,54
816,39
817,34
818,24
819,43
820,45
821,51
822,38
823,42
824,49
825,31
826,51
827,55
828,44
829,51
830,24
831,22
832,36
833,37
834,31
835,37
836,47
837,44
838,33
839,45
840,33
841,11
842,11
843,44
844,32
845,43
846,39
847,36
848,49
849,46
850,38
851,47
852,36
853,46
854,49
855,50
856,50
857,50
858,64
859,29
860,52
861,38
862,46
863,50
864,37
865,64
866,34
867,42
868,38
869,52
870,44
871,31
872,45
873,49
874,55
875,43
876,38
877,42
878,48
879,34
880,46
881,37
882,45
883,55
884,86
885,52
886,34
887,41
888,30
889,39
890,17
891,55
892,66
893,42
894,47
895,25
896,51
897,35
898,52
899,48
900,62
901,60
902,64
903,45
904,36
905,65
906,47
907,53
908,44
909,34
910,64
911,49
912,49
913,35
914,71
915,44
916,48
917,55
918,46
919,53
920,60
921,70
922,100
923,32
924,59
925,48
926,53
927,39
928,47
929,48
930,33
931,34
932,48
933,43
934,40
935,15
936,6
937,43
938,49
939,45
940,38
941,45
942,48
943,48
944,49
945,37
946,38
947,59
948,40
949,35
950,51
951,53
952,41
953,49
954,46
955,51
956,42
957,57
958,17
959,47
960,65
961,31
962,42
963,41
964,47
965,35
966,36
967,31
968,90
969,40
970,50
971,46
972,52
973,54
974,39
975,38
976,50
977,56
978,36
979,53
980,54
981,69
982,38
983,52
984,27
985,41
986,47
987,55
988,61
989,62
990,76
991,54
992,51
993,45
994,43
995,55
996,37
997,42
998,55
999,33
1000,44
1001,41
1002,68
1003,34
1004,56
1005,36
1006,50
1007,36
1008,44
1009,61
1010,45
1011,57
1012,41
1013,49
1014,39
1015,45
1016,36
1017,40
1018,56
1019,47
1020,16
1021,28
1022,72
1023,61
1024,46
1025,50
1026,68
1027,83
1028,41
1029,47
1030,66
1031,53
1032,54
1033,2
1034,29
1035,38
1036,48
1037,54
1038,41
1039,40
1040,29
1041,34
1042,61
1043,31
1044,37
1045,57
1046,35
1047,47
1048,52
1049,57
1050,49
1051,56
1052,40
1053,53
1054,57
1055,62
1056,37
1057,28
1058,36
1059,36
1060,31
1061,42
1062,49
1063,50
1064,63
1065,51
1066,40
1067,33
1068,41
1069,65
1070,49
1071,51
1072,50
1073,63
1074,48
1075,36
1076,41
1077,52
1078,35
1079,65
1080,50
1081,72
1082,31
1083,59
1084,39
1085,40
1086,27
1087,46
1088,71
1089,22
1090,59
1091,64
1092,48
1093,72
1094,37
1095,43
1096,49
1097,45
1098,59
1099,36
1100,54
1101,47
1102,40
1103,37
1104,35
1105,61
1106,40
1107,37
1108,48
1109,50
1110,26
1111,38
1112,60
1113,46
1114,45
1115,51
1116,51
1117,32
1118,28
1119,46
1120,56
1121,50
1122,34
1123,25
1124,25
1125,39
1126,51
1127,50
1128,21
1129,32
1130,42
1131,41
1132,37
1133,66
1134,47
1135,55
1136,45
1137,49
1138,51
1139,63
1140,28
1141,44
1142,63
1143,59
1144,44
1145,55
1146,46
1147,37
1148,52
1149,44
1150,49
1151,70
1152,48
1153,48
1154,43
1155,49
1156,23
1157,31
1158,43
1159,46
1160,38
1161,46
1162,59
1163,59
1164,59
1165,54
1166,61
1167,59
1168,52
1169,73
1170,41
1171,43
1172,35
1173,56
1174,40
1175,59
1176,59
1177,49
1178,23
1179,62
1180,62
1181,50
1182,34
1183,61
1184,57
1185,76
1186,41
1187,21
1188,64
1189,61
1190,40
1191,45
1192,49
1193,40
1194,46
1195,56
1196,55
1197,42
1198,53
1199,49
1200,29
1201,51
1202,45
1203,57
1204,39
1205,56
1206,46
1207,82
1208,65
1209,72
1210,48
1211,23
1212,45
1213,55
1214,50
1215,50
1216,65
1217,39
1218,48
1219,44
1220,57
1221,45
1222,35
1223,49
1224,53
1225,47
1226,60
1227,59
1228,43
1229,39
1230,48
1231,61
1232,11
1233,6
1234,25
1235,50
1236,79
1237,44
1238,52
1239,55
1240,55
1241,43
1242,66
1243,62
1244,41
1245,74
1246,58
1247,63
1248,35
1249,46
1250,35
1251,47
1252,60
1253,35
1254,40
1255,105
1256,44
1257,58
1258,36
1259,43
1260,41
1261,61
1262,50
1263,64
1264,71
1265,68
1266,54
1267,53
1268,61
1269,47
1270,51
1271,53
1272,32
1273,43
1274,37
1275,42
1276,33
1277,42
1278,30
1279,48
1280,25
1281,36
1282,32
1283,38
1284,33
1285,16
1286,54
1287,47
1288,45
1289,46
1290,32
1291,64
1292,43
1293,58
1294,53
1295,51
1296,52
1297,60
1298,35
1299,69
1300,62
1301,38
1302,36
1303,45
1304,10
1305,7
1306,59
1307,30
1308,29
1309,45
1310,54
1311,49
1312,48
1313,55
1314,40
1315,34
1316,36
1317,62
1318,53
1319,59
1320,54
1321,46
1322,30
1323,39
1324,40
1325,53
1326,28
1327,65
1328,27
1329,38
1330,29
1331,40
1332,50
1333,50
1334,54
1335,24
1336,41
1337,57
1338,57
1339,59
1340,60
1341,63
1342,49
1343,44
1344,51
1345,40
1346,45
1347,67
1348,39
1349,54
1350,41
1351,68
1352,39
1353,42
1354,45
1355,73
1356,52
1357,68
1358,48
1359,57
1360,64
1361,75
1362,51
1363,60
1364,54
1365,56
1366,50
1367,41
1368,84
1369,53
1370,49
1371,46
1372,52
1373,64
1374,75
1375,53
1376,50
1377,56
1378,60
1379,55
1380,48
1381,53
1382,49
1383,40
1384,69
1385,35
1386,50
1387,73
